Type,Pièce,Item,Référence prix,Prix unitaire €,Main d'oeuvre (forfait)
Consommable,Autres,Ampoule,,4,
Consommable,Autres,Ampoule barre néon,,13,
Consommable,Autres,Pile détecteur AA,,1,
Consommable,Autres,Pile détecteur rectangulaire,,4,
Meuble ou objet,Autres,Boite aux lettres,https://www.bricodepot.fr/catalogue/boite-aux-lettres-missive-metal-laque/prod1838/,23,20
Meuble ou objet,Autres,Clé,,34,20
Meuble ou objet,Autres,Cylindre serrure (sécurité),https://www.bricodepot.fr/catalogue/cylindre-en-nickel-mat-30-x-40-mm/prod51229/,40,20
Meuble ou objet,Autres,Cylindre serrure (simple),https://www.bricodepot.fr/catalogue/cylindre-de-securite-30-x-30-mm/prod51224/,27,20
Meuble ou objet,Autres,Détecteur fumée,,20,20
Meuble ou objet,Autres,Loquet porte,,8,20
Service,Autres frais,Livraison,,10,
Service,Autres frais,Livraison gros volume,,45,
Meuble ou objet,Bureau,Bureau (petit),https://www.ikea.com/fr/fr/p/micke-bureau-blanc-30213076/,60,
Meuble ou objet,Bureau,Table repas haute,https://www.sklum.com/fr/acheter-tables-hautes/214105-table-haute-carree-60x60-cm-en-acier-lix.html,115,
Meuble ou objet,Chambre,Alèse protège matelas 1P,,,
Meuble ou objet,Chambre,Alèse protège matelas 2P,,,
Meuble ou objet,Chambre,Boite intissé,,,
Meuble ou objet,Chambre,Bonbonnière,,,
Meuble ou objet,Chambre,Cadre lit,,,
Meuble ou objet,Chambre,Commode bois - grand modèle,https://www.ikea.com/fr/fr/p/malm-commode-4-tiroirs-blanc-30403571/,130,
Meuble ou objet,Chambre,Commode bois - petit modèle,https://www.ikea.com/fr/fr/p/rast-commode-3-tiroirs-pin-20609860/,60,
Meuble ou objet,Chambre,Commode tissu,https://www.idmarket.com/7563-commode-6-tiroirs-en-tissu-utah-80-cm.html,50,
Meuble ou objet,Chambre,Couette 1P 90,https://www.ikea.com/fr/fr/p/smasporre-couette-toutes-saisons-90458589/,35,
Meuble ou objet,Chambre,Couette 1P 90 - nettoyage,https://www.5asec.fr/fr/nos-tarifs-pressing/,25,5
Meuble ou objet,Chambre,Couette 2P 140,https://www.ikea.com/fr/fr/p/smasporre-couette-toutes-saisons-60458581/,60,
Meuble ou objet,Chambre,Couette 2P 140 - nettoyage,https://www.5asec.fr/fr/nos-tarifs-pressing/,25,5
Meuble ou objet,Chambre,Étagère 3 niveaux,,,
Meuble ou objet,Chambre,Étagère chevet,,,
Meuble ou objet,Chambre,Matelas 1P,https://www.amazon.fr/dp/B0FRMJSMPQ/,100,
Meuble ou objet,Chambre,Matelas 1P taché - alèse,,20,
Meuble ou objet,Chambre,Matelas 2P,https://www.amazon.fr/dp/B0FRMHZ37F/,140,
Meuble ou objet,Chambre,Matelas 2P taché - alèse,,25,
Meuble ou objet,Chambre,Oreiller,https://www.ikea.com/fr/fr/p/skogsfraeken-oreiller-haut-40460537/,15,
Meuble ou objet,Chambre,Sommier 1P,,,
Meuble ou objet,Chambre,Sommier 2P,,,
Meuble ou objet,Chambre,Table de chevet,https://www.ikea.com/fr/fr/p/knarrevik-table-chevet-noir-00576318/,13,
Service,Chambre,Oreiller - nettoyage,https://www.5asec.fr/fr/nos-tarifs-pressing/,15,5
Appareil électrique,Cuisine,Bouilloire,https://www.darty.com/nav/achat/petit_electromenager/petit-dejeuner/bouilloire_theiere_chocolatiere/proline_pkc17b.html,17,
Appareil électrique,Cuisine,Cafetière - verseuse,https://www.darty.com/nav/achat/accessoires/cafetiere/verseuse_cafe/wpro_versc_o_ucf300.html,15,
Appareil électrique,Cuisine,Cafetière filtre,https://www.darty.com/nav/achat/petit_electromenager/expresso_cafetiere-cafetiere/cafetiere/proline_cm10b.html,21,
Appareil électrique,Cuisine,Cafetière Tassimo,,,
Appareil électrique,Cuisine,Électricité : Centrale incendie,,,
Appareil électrique,Cuisine,Électricité : Détecteur de fumée,,,
Appareil électrique,Cuisine,Four électrique,,,
Appareil électrique,Cuisine,Four electrique compact,,,
Appareil électrique,Cuisine,Four micro-ondes,,,
Appareil électrique,Cuisine,Frigo - remplacement porte clapet freezer,https://www.1001pieces.com/porte-de-freezer-refrigerateur/,49,5
Appareil électrique,Cuisine,Frigo - remplacement vitre ou support porte,,10,
Appareil électrique,Cuisine,Frigo table top (modèle 1),https://www.darty.com/nav/achat/gros_electromenager/refrigerateur-refrigerateur/refrigerateur_sous_plan/proline_ttr94wh.html,130,
Appareil électrique,Cuisine,Frigo table top (modèle 2),https://www.darty.com/nav/achat/gros_electromenager/refrigerateur-refrigerateur/refrigerateur_sous_plan/proline_ttr1200wh.html,200,
Appareil électrique,Cuisine,Grille-pain,,,
Appareil électrique,Cuisine,Hotte aspirante,,,
Appareil électrique,Cuisine,Plaques électriques 2 feux,,,
Appareil électrique,Cuisine,Plaques induction 2 feux,https://www.bricodepot.fr/catalogue/plaque-de-cuisson-a-induction-domino/prod88098/,150,
Appareil électrique,Cuisine,Plaques induction 2 feux - rayures,,40,
Appareil électrique,Cuisine,Plaques vitrocéramique - rayures,,35,
